ID,taxon,type,p_scat,samples,total_in,mean_in,map,mat,cover,rugged
73,bird,stomach,0,24,n/a,n/a,777.2222222,18.67842547,4.815035858,13.5724948
74,bird,scat,1,11,n/a,n/a,322,20.9246769,0.347559844,19.84290192
75,bird,scat,1,15,n/a,n/a,348.7777778,20.36907323,0.843454262,30.49206379
76,bird,scat,1,320,n/a,n/a,405,17.80092663,39.44586117,7.659140073
77,bird,scat,1,207,n/a,n/a,1241.8,13.14200106,64.61852659,174.6733234
78,bird,scat,1,48,n/a,n/a,721.7777778,17.05666563,10.75851076,29.64463125
79,bird,scat,1,95,n/a,n/a,1327.916667,15.99659673,61.58401388,140.5089458
80,bird,scat,1,141,n/a,n/a,210.5454545,21.48613722,0.015487091,5.084714688
81,bird,scat,1,141,n/a,n/a,191.7,20.67674789,0.010244122,4.962997106
82,bird,scat,1,46,10,1,596.2222222,19.54448912,5.371745126,6.766206463
83,bird,scat,1,1159,n/a,n/a,1972.444444,5.226389037,63.30234098,159.712657
84,bird,scat,1,99,n/a,n/a,1292.666667,17.79541736,8.340990489,23.6134999
85,bird,stomach,0,116,5,1,387.4444444,16.15162097,3.175957558,51.03095656
86,bird,scat,1,55,n/a,n/a,665.3333333,14.72847345,8.335699656,42.82772035
87,bird,scat,1,26,n/a,n/a,205.2222222,19.3718978,1.470471206,11.41709812
88,bird,scat,1,17,n/a,n/a,750.3,14.39324989,22.63224308,100.9047819
89,bird,stomach,0,289,n/a,n/a,788.1111111,14.04583378,7.301551979,3.933754362
90,bird,stomach,0,147,n/a,n/a,788.1111111,14.04583378,7.301551979,3.933754362
91,bird,stomach,0,25,n/a,n/a,480.1111111,21.50245433,2.551763695,23.04121668
92,bird,scat,1,31,n/a,n/a,214.5555556,20.37657441,0,3.673168594
93,bird,scat,1,74,n/a,n/a,211.1,20.41420898,0,3.421760687
94,bird,scat,1,701,n/a,n/a,721,15.17416573,23.74254497,128.3601913
95,bird,stomach,0,220,n/a,n/a,279.5454545,17.46590822,2.343640472,5.20098515
96,bird,scat,1,613,n/a,n/a,1028.4,13.975208,71.34535592,109.5391497
97,bird,scat,1,144,n/a,n/a,780.3333333,13.45745235,16.14311397,32.112755
98,bird,scat,1,377,n/a,n/a,191.8888889,23.77291785,0.014578952,3.887377207
99,bird,scat,1,1200,n/a,n/a,256,19.21791706,2.20E-05,23.81096967
100,bird,stomach,0,55,n/a,n/a,221.2222222,20.71898121,0.264754203,3.604263697
101,bird,scat,1,157,n/a,n/a,1397,16.83364773,67.57479668,35.83569431
102,bird,scat,1,116,n/a,n/a,1277.7,16.81930669,59.29786277,21.87411728
103,bird,stomach,0,57,5,1,436.2727273,25.24030183,1.098267747,4.016245763
104,bird,scat,1,250,n/a,n/a,1082,10.83204241,66.60055608,167.9712595
105,bird,stomach,0,261,n/a,n/a,693.3,15.88175001,22.46541352,82.66913106
106,bird,scat,1,336,n/a,n/a,768.2222222,14.39308434,15.48712019,23.93392401
107,bird,scat,1,20,n/a,n/a,981.5833333,13.34308414,17.71044767,47.79168334
108,bird,scat,1,1185,n/a,n/a,1788,20.46738161,15.94526597,9.660155296
109,bird,stomach,0,74,n/a,n/a,379.3,21.03741608,1.238411321,1.936358507
110,bird,scat,1,18,n/a,n/a,300.6666667,18.53338093,13.72391436,15.8393226
111,bird,scat,1,185,n/a,n/a,690.6,18.30079193,12.20282378,36.08295863
112,bird,scat,1,53,n/a,n/a,638.7777778,18.85791694,23.5011124,20.72354918
113,bird,scat,1,75,n/a,n/a,298.2,23.27433319,0.094342506,8.942918191
114,bird,scat,1,51,n/a,n/a,403.5555556,26.04208353,0.559279703,14.63230412
115,bird,stomach,0,52,n/a,n/a,762.1666667,13.38756903,20.37706053,56.68949827
116,bird,scat,1,243,n/a,n/a,736.3333333,13.70745341,33.2682932,115.1904335
117,bird,scat,1,63,n/a,n/a,231.1111111,21.22856564,0.015063364,11.81434719
118,bird,scat,1,692,n/a,n/a,1029.777778,13.46814781,60.40781673,168.902144
119,bird,scat,1,270,n/a,n/a,930.2,13.31404085,60.8699304,81.65119241
120,bird,stomach,0,92,8,2.67,200.2222222,20.02300898,0.007138166,6.46167108
121,bird,scat,1,584,n/a,n/a,1830.75,11.26378409,68.83521736,107.5810312
122,bird,stomach,0,47,1,1,265.3333333,21.49444283,0.316967986,15.05574857
123,bird,scat,1,122,n/a,n/a,1374.333333,16.85041891,67.04369627,34.91993697
124,bird,scat,1,101,n/a,n/a,1276.111111,16.87124888,56.02423714,22.11914693
125,bird,scat,1,147,n/a,n/a,1318.5,17.04277759,61.19484933,21.78284381
126,bird,scat,1,100,n/a,n/a,1237.444444,17.05726899,54.72534322,16.05548212
127,bird,scat,1,133,n/a,n/a,1376.222222,17.17467668,30.30462713,46.08214153
128,bird,stomach,0,99,n/a,n/a,270.5555556,18.71268569,0.279789839,1.86564506
129,bird,stomach,0,240,n/a,n/a,918.7777778,12.3090744,10.74782167,38.66721007
130,bird,stomach,0,269,n/a,n/a,918.7777778,12.3090744,10.74782167,38.66721007
131,bird,Stomach,0,50,5,1.666666667,615.4,19.47087574,19.90071331,4.641190946
132,bird,Stomach,0,16,1,1,563.1111111,19.98125013,5.933109937,7.17984883
133,bird,Stomach,0,73,6,1,550,20.06174889,6.114883645,2.902197398
